College,Degree,Major Code,Major Name,Non-Resident Alien Male,Non-Resident Alien Female,Hispanic/Latino Male,Hispanic/Latino Female,American Indian or Alaska Native Male,American Indian or Alaska Native Female,Asian Male,Asian Female,Black or African American Male,Black or African American Female,Native Hawaiian/Other Pacific Islander Male,Native Hawaiian/Other Pacific Islander Female,White Male,White Female,Two or more races Male,Two or more races Female,Race and Ethnicity Unknown Male,Race and Ethnicity Unknown Female,Total
College of Business Administration,BSBA,MNLO,Management (Leadership),,,,,,,,,1,,,,3,4,,,,,8
College of Business Administration,BSBA,MRKT,Marketing,,5,3,2,,,2,2,1,,,,74,48,,1,1,1,140
College of Business Administration,BSBA,JEMK,Marketing (Raikes progam only),,,,,,,,,,,,,1,,,,,,1
College of Business Administration,BSBA,SCMS,Supply Chain Management,,,2,2,,,1,,,,,,15,7,,,1,,28
College of Business Administration,,,Total,83,78,20,27,1,1,13,13,4,4,1,,477,217,5,12,17,5,978
College of Education and Human Sciences,BSEH,ATHT,Athletic Training,1,,1,,,,,,,,,,8,5,,,,,15
College of Education and Human Sciences,BSEH,BMIT,"Business, Marketing & IT",,,,,,,,,,,,,5,1,,,,,6
College of Education and Human Sciences,BSEH,CYCE,"Child, Youth & Family Studies",,,,,,1,,,,,,,,1,,,,,2
College of Education and Human Sciences,BSEH,CYCD,CYAF-(Child Dev/Early Childhood Ed),,,,,,,,1,,1,,,3,4,,,,1,10
College of Education and Human Sciences,BSEH,CYFC,CYAF-(Fam & Consumer Sci Ed),,,,,,,,,,,,,,8,,,,1,9
College of Education and Human Sciences,BSEH,CYFJ,CYAF-(Family & Cons Sci/JMC),,,1,,,,,,,,,,,2,,,,,3
College of Education and Human Sciences,BSEH,CYFA,CYAF-(Family Science),,4,1,4,,,,3,2,6,,,14,61,,3,,2,100
College of Education and Human Sciences,BSEH,CYEC,CYAF-(Inclusive Early Childhood Education),,,,,,1,,,,,,,,30,,2,,,33
College of Education and Human Sciences,BSEH,ERSS,Earth & Space Science 7-12,,,,,,,,,,,,,,1,,,,,1
College of Education and Human Sciences,BSEH,ECED,Elem Educ & Early Child Educ,,,,1,,,,,,,,,,15,,,,1,17
College of Education and Human Sciences,BSEH,SPM7,Elem Educ & Special Educ K-6,,1,,2,,,,1,,,,,3,54,,1,,3,65
College of Education and Human Sciences,BSEH,ELED,Elementary Education,,,,5,,3,,,2,,,,23,111,,4,1,1,150
College of Education and Human Sciences,BSEH,EENGL,English,,,1,,,,,,,,,,2,10,,,,1,14
College of Education and Human Sciences,BSEH,ELAT,English Language Arts,,,,,,,,,,,,,,2,,,,,2
College of Education and Human Sciences,BAHR,HRTM,"Hospit, Rest & Tour Mngt",,1,,,,,,1,,2,,,2,20,1,,,,27
College of Education and Human Sciences,BHRT,HRTM,"Hospit, Rest & Tour Mngt",1,1,,,,,,,1,,,,5,27,1,,,2,38
College of Education and Human Sciences,BSEH,EMATH,Mathematics,,,1,,,,,,,,,,6,6,,,1,1,15
College of Education and Human Sciences,BSEH,NTSC,Natural Science,,,,,,,,,,,,,1,3,,,,,4
College of Education and Human Sciences,BSEH,CULS,NUTR-(Culinology),,,,,,,,,2,,,,1,2,,,,,5
College of Education and Human Sciences,BSEH,DIET,NUTR-(Dietetics),,2,2,1,,,,4,1,1,,,7,48,,2,,2,70
College of Education and Human Sciences,BSEH,NEHS,"NUTR-(Nutrition, Exercise & Health Science)",,2,2,1,1,,,,2,,,,58,63,1,,,1,131
College of Education and Human Sciences,BSEH,NTRS,NUTR-(Nutritional Science),,,,1,,,1,2,1,,,,19,18,2,,,,44
College of Education and Human Sciences,BSEH,SCIE,Science 7-12,,,,,,,,,,,,,2,,,,,,2
College of Education and Human Sciences,BSEH,SENG,Secondary English Grades 7-12,,,,,,,,,,,,,,1,,,,,1
College of Education and Human Sciences,BSEH,SSCI,Social Science,,,1,,,,,,,,,,7,7,,,,,15
College of Education and Human Sciences,BSEH,ESPAN,Spanish,1,,1,1,,,,,,,,,,2,,,,,5
College of Education and Human Sciences,BSEH,SPM8,Special Education 7-12,,,,,,,,,,,,,2,7,,2,,,11
College of Education and Human Sciences,BSEH,SPLP,Speech-Language Pathologist,,,,1,,,,,,,,,1,46,,,,,48
College of Education and Human Sciences,BSEH,TCOM,Textiles Merch & Fashion Desgn,,,,,,,,,,,,,,6,,,,,6
College of Education and Human Sciences,BSEH,TDES,Textiles Merch & Fashion Desgn,,,,,,,,,,1,,,,6,,,,1,8
College of Education and Human Sciences,BSEH,TMER,Textiles Merch & Fashion Desgn,,,,1,,,,,,1,,,1,16,,,,,19
College of Education and Human Sciences,NDEG,P002,Pre Biology,,,,,,,,,,,,,1,1,,,,,2
College of Education and Human Sciences,NDEG,P061,"Pre Business, Marketing & IT",,,,,,,,,,,,,,1,,,,,1
College of Education and Human Sciences,NDEG,P064,Pre Elem Ed & Special Ed K-6,,,,,,,,,,1,,,1,1,,,,,3
College of Education and Human Sciences,NDEG,P011,Pre Elem Educ Early Child Educ,,,,,,,,,,,,,,3,,,,,3
College of Education and Human Sciences,NDEG,P009,Pre Elementary Education,,,,1,,,,,,1,,,1,8,,,,,11
College of Education and Human Sciences,NDEG,P066,Pre English Language Arts,,,,1,,,,,,,,,,1,,,,,2
